name	descr	pvalue	qvalue
BICELLULAR TIGHT JUNCTION ASSEMBLY%GOBP%GO:0070830	BICELLULAR TIGHT JUNCTION ASSEMBLY%GOBP%GO:0070830	1.59e-07	0.000101101285714286
BIOCARTA_AHSP_PATHWAY%MSIGDB_C2%BIOCARTA_AHSP_PATHWAY	BIOCARTA_AHSP_PATHWAY%MSIGDB_C2%BIOCARTA_AHSP_PATHWAY	1.71e-07	0.000103789227272727
MAP KINASE KINASE KINASE KINASE ACTIVITY%GOMF%GO:0008349	MAP KINASE KINASE KINASE KINASE ACTIVITY%GOMF%GO:0008349	2.35e-07	0.000136432826086957
TIGHT JUNCTION ORGANIZATION%GOBP%GO:0120193	TIGHT JUNCTION ORGANIZATION%GOBP%GO:0120193	2.72e-07	0.00014528064
TIGHT JUNCTION ASSEMBLY%GOBP%GO:0120192	TIGHT JUNCTION ASSEMBLY%GOBP%GO:0120192	2.72e-07	0.00014528064
POSITIVE REGULATION OF CIRCADIAN RHYTHM%GOBP%GO:0042753	POSITIVE REGULATION OF CIRCADIAN RHYTHM%GOBP%GO:0042753	3.58e-07	0.000183860538461538
GLANDULAR EPITHELIAL CELL DEVELOPMENT%GOBP%GO:0002068	GLANDULAR EPITHELIAL CELL DEVELOPMENT%GOBP%GO:0002068	4.11e-07	0.000193848724137931
ENTEROENDOCRINE CELL DIFFERENTIATION%GOBP%GO:0035883	ENTEROENDOCRINE CELL DIFFERENTIATION%GOBP%GO:0035883	4.11e-07	0.000193848724137931
G PROTEIN ACTIVITY%GOMF%GO:0003925	G PROTEIN ACTIVITY%GOMF%GO:0003925	4.21e-07	0.000193848724137931
FILOPODIUM ASSEMBLY%GOBP%GO:0046847	FILOPODIUM ASSEMBLY%GOBP%GO:0046847	4.64e-07	0.0002065264
GLYCOPROTEIN COMPLEX%GOCC%GO:0090665	GLYCOPROTEIN COMPLEX%GOCC%GO:0090665	5.19e-07	0.0002178208125
AMINOPHOSPHOLIPID TRANSPORT%GOBP%GO:0015917	AMINOPHOSPHOLIPID TRANSPORT%GOBP%GO:0015917	5.22e-07	0.0002178208125
NEGATIVE REGULATION OF COMPLEMENT ACTIVATION%GOBP%GO:0045916	NEGATIVE REGULATION OF COMPLEMENT ACTIVATION%GOBP%GO:0045916	5.42e-07	0.000219312909090909
PROTEIN O-LINKED GLYCOSYLATION VIA THREONINE%GOBP%GO:0018243	PROTEIN O-LINKED GLYCOSYLATION VIA THREONINE%GOBP%GO:0018243	6.46e-07	0.000253707
CELLULAR RESPONSE TO LEUCINE STARVATION%GOBP%GO:1990253	CELLULAR RESPONSE TO LEUCINE STARVATION%GOBP%GO:1990253	7.24e-07	0.000272473378378378
ANOIKIS%GOBP%GO:0043276	ANOIKIS%GOBP%GO:0043276	7.44e-07	0.000272473378378378
NEGATIVE REGULATION OF TOLL-LIKE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0034122	NEGATIVE REGULATION OF TOLL-LIKE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0034122	7.55e-07	0.000272473378378378
DIGESTIVE TRACT MORPHOGENESIS%GOBP%GO:0048546	DIGESTIVE TRACT MORPHOGENESIS%GOBP%GO:0048546	7.88e-07	0.000276899052631579
BIOCARTA_PPARG_PATHWAY%MSIGDB_C2%BIOCARTA_PPARG_PATHWAY	BIOCARTA_PPARG_PATHWAY%MSIGDB_C2%BIOCARTA_PPARG_PATHWAY	8.52e-07	0.000291711692307692
NEGATIVE REGULATION OF INCLUSION BODY ASSEMBLY%GOBP%GO:0090084	NEGATIVE REGULATION OF INCLUSION BODY ASSEMBLY%GOBP%GO:0090084	9.27e-07	0.000304839219512195
POSTSYNAPTIC DENSITY PROTEIN 95 CLUSTERING%GOBP%GO:0097119	POSTSYNAPTIC DENSITY PROTEIN 95 CLUSTERING%GOBP%GO:0097119	9.36e-07	0.000304839219512195
GLYCEROPHOSPHOLIPID FLIPPASE ACTIVITY%GOMF%GO:0140333	GLYCEROPHOSPHOLIPID FLIPPASE ACTIVITY%GOMF%GO:0140333	9.99e-07	0.000317610642857143
PID_DNA_PK_PATHWAY%MSIGDB_C2%PID_DNA_PK_PATHWAY	PID_DNA_PK_PATHWAY%MSIGDB_C2%PID_DNA_PK_PATHWAY	1.28e-06	0.000397484651162791
POSITIVE REGULATION OF PROTEIN IMPORT INTO NUCLEUS%GOBP%GO:0042307	POSITIVE REGULATION OF PROTEIN IMPORT INTO NUCLEUS%GOBP%GO:0042307	1.38e-06	0.000415426666666667
ALPHA-BETA T CELL RECEPTOR COMPLEX%GOCC%GO:0042105	ALPHA-BETA T CELL RECEPTOR COMPLEX%GOCC%GO:0042105	1.4e-06	0.000415426666666667
GAMMA-DELTA T CELL RECEPTOR COMPLEX%GOCC%GO:0042106	GAMMA-DELTA T CELL RECEPTOR COMPLEX%GOCC%GO:0042106	1.44e-06	0.000418006956521739
UDP-<I>N< I>-ACETYL-D-GLUCOSAMINE BIOSYNTHESIS II%BIOCYC%UDPNACETYLGALSYN-PWY	UDP-<I>N< I>-ACETYL-D-GLUCOSAMINE BIOSYNTHESIS II%BIOCYC%UDPNACETYLGALSYN-PWY	1.48e-06	0.000420477446808511
FREE FATTY ACIDS REGULATE INSULIN SECRETION%REACTOME DATABASE ID RELEASE 83%400451	FREE FATTY ACIDS REGULATE INSULIN SECRETION%REACTOME DATABASE ID RELEASE 83%400451	1.59e-06	0.000442318125
REGULATION OF CELL MATURATION%GOBP%GO:1903429	REGULATION OF CELL MATURATION%GOBP%GO:1903429	1.68e-06	0.000457817142857143
HYALURONAN CATABOLIC PROCESS%GOBP%GO:0030214	HYALURONAN CATABOLIC PROCESS%GOBP%GO:0030214	1.83e-06	0.0004887198
REGULATION OF ADHERENS JUNCTION ORGANIZATION%GOBP%GO:1903391	REGULATION OF ADHERENS JUNCTION ORGANIZATION%GOBP%GO:1903391	1.88e-06	0.000490465961538462
PRIMITIVE STREAK FORMATION%REACTOME DATABASE ID RELEASE 83%9754189	PRIMITIVE STREAK FORMATION%REACTOME DATABASE ID RELEASE 83%9754189	1.91e-06	0.000490465961538462
POSITIVE REGULATION OF DENDRITIC CELL CYTOKINE PRODUCTION%GOBP%GO:0002732	POSITIVE REGULATION OF DENDRITIC CELL CYTOKINE PRODUCTION%GOBP%GO:0002732	1.99e-06	0.000497702727272727
IRAK2 MEDIATED ACTIVATION OF TAK1 COMPLEX UPON TLR7 8 OR 9 STIMULATION%REACTOME DATABASE ID RELEASE 83%975163	IRAK2 MEDIATED ACTIVATION OF TAK1 COMPLEX UPON TLR7 8 OR 9 STIMULATION%REACTOME DATABASE ID RELEASE 83%975163	2.05e-06	0.000497702727272727
TRAF6-MEDIATED INDUCTION OF TAK1 COMPLEX WITHIN TLR4 COMPLEX%REACTOME%R-HSA-937072.2	TRAF6-MEDIATED INDUCTION OF TAK1 COMPLEX WITHIN TLR4 COMPLEX%REACTOME%R-HSA-937072.2	2.05e-06	0.000497702727272727
PRERIBOSOME, SMALL SUBUNIT PRECURSOR%GOCC%GO:0030688	PRERIBOSOME, SMALL SUBUNIT PRECURSOR%GOCC%GO:0030688	2.17e-06	0.000513036315789474
MYOSIN II COMPLEX%GOCC%GO:0016460	MYOSIN II COMPLEX%GOCC%GO:0016460	2.19e-06	0.000513036315789474
PREGNANE X RECEPTOR PATHWAY%WIKIPATHWAYS_20220510%WP2876%HOMO SAPIENS	PREGNANE X RECEPTOR PATHWAY%WIKIPATHWAYS_20220510%WP2876%HOMO SAPIENS	2.26e-06	0.000520306551724138
POSITIVE REGULATION OF URINE VOLUME%GOBP%GO:0035810	POSITIVE REGULATION OF URINE VOLUME%GOBP%GO:0035810	2.37e-06	0.000536383220338983
DNA DOUBLE-STRAND BREAK PROCESSING%GOBP%GO:0000729	DNA DOUBLE-STRAND BREAK PROCESSING%GOBP%GO:0000729	2.46e-06	0.000547473
CAMKK2 PATHWAY%WIKIPATHWAYS_20220510%WP4874%HOMO SAPIENS	CAMKK2 PATHWAY%WIKIPATHWAYS_20220510%WP4874%HOMO SAPIENS	2.78e-06	0.000608546557377049
GAS TRANSPORT%GOBP%GO:0015669	GAS TRANSPORT%GOBP%GO:0015669	2.89e-06	0.000620632394366197
REGULATION OF FOXO TRANSCRIPTIONAL ACTIVITY BY ACETYLATION%REACTOME%R-HSA-9617629.1	REGULATION OF FOXO TRANSCRIPTIONAL ACTIVITY BY ACETYLATION%REACTOME%R-HSA-9617629.1	2.94e-06	0.000620632394366197
CROSS-PRESENTATION OF PARTICULATE EXOGENOUS ANTIGENS (PHAGOSOMES)%REACTOME DATABASE ID RELEASE 83%1236973	CROSS-PRESENTATION OF PARTICULATE EXOGENOUS ANTIGENS (PHAGOSOMES)%REACTOME DATABASE ID RELEASE 83%1236973	3.1e-06	0.000620632394366197
C2H2 ZINC FINGER DOMAIN BINDING%GOMF%GO:0070742	C2H2 ZINC FINGER DOMAIN BINDING%GOMF%GO:0070742	3.11e-06	0.000620632394366197
SIGNALING BY AXIN MUTANTS%REACTOME DATABASE ID RELEASE 83%4839735	SIGNALING BY AXIN MUTANTS%REACTOME DATABASE ID RELEASE 83%4839735	3.3e-06	0.000620632394366197
AXIN MISSENSE MUTANTS DESTABILIZE THE DESTRUCTION COMPLEX%REACTOME DATABASE ID RELEASE 83%5467340	AXIN MISSENSE MUTANTS DESTABILIZE THE DESTRUCTION COMPLEX%REACTOME DATABASE ID RELEASE 83%5467340	3.3e-06	0.000620632394366197
SIGNALING BY APC MUTANTS%REACTOME DATABASE ID RELEASE 83%4839744	SIGNALING BY APC MUTANTS%REACTOME DATABASE ID RELEASE 83%4839744	3.3e-06	0.000620632394366197
APC TRUNCATION MUTANTS HAVE IMPAIRED AXIN BINDING%REACTOME%R-HSA-5467337.1	APC TRUNCATION MUTANTS HAVE IMPAIRED AXIN BINDING%REACTOME%R-HSA-5467337.1	3.3e-06	0.000620632394366197
TRUNCATIONS OF AMER1 DESTABILIZE THE DESTRUCTION COMPLEX%REACTOME DATABASE ID RELEASE 83%5467348	TRUNCATIONS OF AMER1 DESTABILIZE THE DESTRUCTION COMPLEX%REACTOME DATABASE ID RELEASE 83%5467348	3.3e-06	0.000620632394366197
SIGNALING BY AMER1 MUTANTS%REACTOME DATABASE ID RELEASE 83%4839748	SIGNALING BY AMER1 MUTANTS%REACTOME DATABASE ID RELEASE 83%4839748	3.3e-06	0.000620632394366197
REGULATION OF PHOSPHATIDYLCHOLINE METABOLIC PROCESS%GOBP%GO:0150172	REGULATION OF PHOSPHATIDYLCHOLINE METABOLIC PROCESS%GOBP%GO:0150172	3.7e-06	0.000686195833333333
GLANDULAR EPITHELIAL CELL DIFFERENTIATION%GOBP%GO:0002067	GLANDULAR EPITHELIAL CELL DIFFERENTIATION%GOBP%GO:0002067	3.88e-06	0.000709721095890411
CELL COMMUNICATION BY ELECTRICAL COUPLING INVOLVED IN CARDIAC CONDUCTION%GOBP%GO:0086064	CELL COMMUNICATION BY ELECTRICAL COUPLING INVOLVED IN CARDIAC CONDUCTION%GOBP%GO:0086064	4.09e-06	0.000727387105263158
CUL5-RING UBIQUITIN LIGASE COMPLEX%GOCC%GO:0031466	CUL5-RING UBIQUITIN LIGASE COMPLEX%GOCC%GO:0031466	4.1e-06	0.000727387105263158
LOW-DENSITY LIPOPROTEIN PARTICLE RECEPTOR ACTIVITY%GOMF%GO:0005041	LOW-DENSITY LIPOPROTEIN PARTICLE RECEPTOR ACTIVITY%GOMF%GO:0005041	4.14e-06	0.000727387105263158
HEME BIOSYNTHETIC PROCESS%GOBP%GO:0006783	HEME BIOSYNTHETIC PROCESS%GOBP%GO:0006783	4.43e-06	0.000741321724137931
REGULATION OF RNA POLYMERASE II REGULATORY REGION SEQUENCE-SPECIFIC DNA BINDING%GOBP%GO:1903025	REGULATION OF RNA POLYMERASE II REGULATORY REGION SEQUENCE-SPECIFIC DNA BINDING%GOBP%GO:1903025	4.63e-06	0.000741321724137931
SELENOCYSTEINE INCORPORATION%GOBP%GO:0001514	SELENOCYSTEINE INCORPORATION%GOBP%GO:0001514	4.69e-06	0.000741321724137931
TRANSLATIONAL READTHROUGH%GOBP%GO:0006451	TRANSLATIONAL READTHROUGH%GOBP%GO:0006451	4.69e-06	0.000741321724137931
CARBON DIOXIDE TRANSPORT%GOBP%GO:0015670	CARBON DIOXIDE TRANSPORT%GOBP%GO:0015670	4.79e-06	0.000741321724137931
SIGNALING BY GSK3BETA MUTANTS%REACTOME DATABASE ID RELEASE 83%5339716	SIGNALING BY GSK3BETA MUTANTS%REACTOME DATABASE ID RELEASE 83%5339716	4.83e-06	0.000741321724137931
CTNNB1 S45 MUTANTS AREN'T PHOSPHORYLATED%REACTOME DATABASE ID RELEASE 83%5358751	CTNNB1 S45 MUTANTS AREN'T PHOSPHORYLATED%REACTOME DATABASE ID RELEASE 83%5358751	4.83e-06	0.000741321724137931
CTNNB1 S37 MUTANTS AREN'T PHOSPHORYLATED%REACTOME DATABASE ID RELEASE 83%5358749	CTNNB1 S37 MUTANTS AREN'T PHOSPHORYLATED%REACTOME DATABASE ID RELEASE 83%5358749	4.83e-06	0.000741321724137931
CTNNB1 T41 MUTANTS AREN'T PHOSPHORYLATED%REACTOME DATABASE ID RELEASE 83%5358752	CTNNB1 T41 MUTANTS AREN'T PHOSPHORYLATED%REACTOME DATABASE ID RELEASE 83%5358752	4.83e-06	0.000741321724137931
CTNNB1 S33 MUTANTS AREN'T PHOSPHORYLATED%REACTOME DATABASE ID RELEASE 83%5358747	CTNNB1 S33 MUTANTS AREN'T PHOSPHORYLATED%REACTOME DATABASE ID RELEASE 83%5358747	4.83e-06	0.000741321724137931
SIGNALING BY CTNNB1 PHOSPHO-SITE MUTANTS%REACTOME DATABASE ID RELEASE 83%4839743	SIGNALING BY CTNNB1 PHOSPHO-SITE MUTANTS%REACTOME DATABASE ID RELEASE 83%4839743	4.83e-06	0.000741321724137931
REGULATION OF INTERLEUKIN-1-MEDIATED SIGNALING PATHWAY%GOBP%GO:2000659	REGULATION OF INTERLEUKIN-1-MEDIATED SIGNALING PATHWAY%GOBP%GO:2000659	5.44e-06	0.000825458181818182
POLYPEPTIDE N-ACETYLGALACTOSAMINYLTRANSFERASE ACTIVITY%GOMF%GO:0004653	POLYPEPTIDE N-ACETYLGALACTOSAMINYLTRANSFERASE ACTIVITY%GOMF%GO:0004653	5.64e-06	0.000836788
MUCIN CORE 3 AND CORE 4 <I>O< I>-GLYCOSYLATION%BIOCYC%PWY-7435	MUCIN CORE 3 AND CORE 4 <I>O< I>-GLYCOSYLATION%BIOCYC%PWY-7435	5.64e-06	0.000836788
COBALAMIN TRANSPORT%GOBP%GO:0015889	COBALAMIN TRANSPORT%GOBP%GO:0015889	5.83e-06	0.000855472417582418
GAP JUNCTION CHANNEL ACTIVITY%GOMF%GO:0005243	GAP JUNCTION CHANNEL ACTIVITY%GOMF%GO:0005243	6.54e-06	0.000949224130434783
GLUTAMATE RECEPTOR ACTIVITY%GOMF%GO:0008066	GLUTAMATE RECEPTOR ACTIVITY%GOMF%GO:0008066	6.68e-06	0.000959118709677419
ELASTIC FIBER ASSEMBLY%GOBP%GO:0048251	ELASTIC FIBER ASSEMBLY%GOBP%GO:0048251	6.83e-06	0.00097022329787234
CELL COMMUNICATION BY ELECTRICAL COUPLING%GOBP%GO:0010644	CELL COMMUNICATION BY ELECTRICAL COUPLING%GOBP%GO:0010644	6.99e-06	0.0009778290625
PIGMENT BIOSYNTHETIC PROCESS%GOBP%GO:0046148	PIGMENT BIOSYNTHETIC PROCESS%GOBP%GO:0046148	7.03e-06	0.0009778290625
REGULATION OF DENDRITIC CELL CYTOKINE PRODUCTION%GOBP%GO:0002730	REGULATION OF DENDRITIC CELL CYTOKINE PRODUCTION%GOBP%GO:0002730	7.13e-06	0.000981514329896907
CARBOHYDRATE METABOLIC PROCESS%GOMF%GO:0005975	CARBOHYDRATE METABOLIC PROCESS%GOMF%GO:0005975	7.88e-06	0.00104205764705882
NEGATIVE REGULATION OF MONONUCLEAR CELL MIGRATION%GOBP%GO:0071676	NEGATIVE REGULATION OF MONONUCLEAR CELL MIGRATION%GOBP%GO:0071676	7.91e-06	0.00104205764705882
POSITIVE REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOBP%GO:1901018	POSITIVE REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOBP%GO:1901018	7.96e-06	0.00104205764705882
HEME BIOSYNTHESIS%WIKIPATHWAYS_20220510%WP561%HOMO SAPIENS	HEME BIOSYNTHESIS%WIKIPATHWAYS_20220510%WP561%HOMO SAPIENS	7.96e-06	0.00104205764705882
HEMESYNTHESIS DEFECTS AND PORPHYRIAS%WIKIPATHWAYS_20220510%WP5169%HOMO SAPIENS	HEMESYNTHESIS DEFECTS AND PORPHYRIAS%WIKIPATHWAYS_20220510%WP5169%HOMO SAPIENS	7.96e-06	0.00104205764705882
PIGMENT METABOLIC PROCESS%GOBP%GO:0042440	PIGMENT METABOLIC PROCESS%GOBP%GO:0042440	9.26e-06	0.00120047359223301
TICAM1,TRAF6-DEPENDENT INDUCTION OF TAK1 COMPLEX%REACTOME DATABASE ID RELEASE 83%9014325	TICAM1,TRAF6-DEPENDENT INDUCTION OF TAK1 COMPLEX%REACTOME DATABASE ID RELEASE 83%9014325	9.64e-06	0.00123772038461538
TETRAPYRROLE BIOSYNTHETIC PROCESS%GOBP%GO:0033014	TETRAPYRROLE BIOSYNTHETIC PROCESS%GOBP%GO:0033014	1.01e-05	0.0012723141509434
PORPHYRIN-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0006779	PORPHYRIN-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0006779	1.01e-05	0.0012723141509434
NEGATIVE REGULATION OF B CELL RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050859	NEGATIVE REGULATION OF B CELL RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050859	1.04e-05	0.00129786168224299
TOXIC SUBSTANCE BINDING%GOMF%GO:0015643	TOXIC SUBSTANCE BINDING%GOMF%GO:0015643	1.05e-05	0.00129820833333333
DISEASES OF HEMOSTASIS%REACTOME DATABASE ID RELEASE 83%9671793	DISEASES OF HEMOSTASIS%REACTOME DATABASE ID RELEASE 83%9671793	1.24e-05	0.00150524727272727
DEFECTS OF FORMATION OF FIBRIN CLOT (CLOTTING CASCADE)%REACTOME%R-HSA-9651496.3	DEFECTS OF FORMATION OF FIBRIN CLOT (CLOTTING CASCADE)%REACTOME%R-HSA-9651496.3	1.24e-05	0.00150524727272727
POSITIVE REGULATION OF EXTRACELLULAR MATRIX ASSEMBLY%GOBP%GO:1901203	POSITIVE REGULATION OF EXTRACELLULAR MATRIX ASSEMBLY%GOBP%GO:1901203	1.3e-05	0.00156182410714286
PORPHYRIN METABOLISM%REACTOME DATABASE ID RELEASE 83%189445	PORPHYRIN METABOLISM%REACTOME DATABASE ID RELEASE 83%189445	1.31e-05	0.00156182410714286
BIOCARTA_DSP_PATHWAY%MSIGDB_C2%BIOCARTA_DSP_PATHWAY	BIOCARTA_DSP_PATHWAY%MSIGDB_C2%BIOCARTA_DSP_PATHWAY	1.36e-05	0.00157703534482759
PIGMENT GRANULE MATURATION%GOBP%GO:0048757	PIGMENT GRANULE MATURATION%GOBP%GO:0048757	1.37e-05	0.00157703534482759
ENDOSOME TO MELANOSOME TRANSPORT%GOBP%GO:0035646	ENDOSOME TO MELANOSOME TRANSPORT%GOBP%GO:0035646	1.37e-05	0.00157703534482759
ENDOSOME TO PIGMENT GRANULE TRANSPORT%GOBP%GO:0043485	ENDOSOME TO PIGMENT GRANULE TRANSPORT%GOBP%GO:0043485	1.37e-05	0.00157703534482759
IRAK2 MEDIATED ACTIVATION OF TAK1 COMPLEX%REACTOME DATABASE ID RELEASE 83%937042	IRAK2 MEDIATED ACTIVATION OF TAK1 COMPLEX%REACTOME DATABASE ID RELEASE 83%937042	1.47e-05	0.00167768461538462
FATTY ACIDS BOUND TO GPR40 (FFAR1) REGULATE INSULIN SECRETION%REACTOME%R-HSA-434316.4	FATTY ACIDS BOUND TO GPR40 (FFAR1) REGULATE INSULIN SECRETION%REACTOME%R-HSA-434316.4	1.53e-05	0.00173136355932203
FEEDING BEHAVIOR%GOBP%GO:0007631	FEEDING BEHAVIOR%GOBP%GO:0007631	1.55e-05	0.00173925630252101
NUCLEOTIDE-BINDING OLIGOMERIZATION DOMAIN CONTAINING SIGNALING PATHWAY%GOBP%GO:0070423	NUCLEOTIDE-BINDING OLIGOMERIZATION DOMAIN CONTAINING SIGNALING PATHWAY%GOBP%GO:0070423	1.57e-05	0.0017470175
BIOCARTA_CARM_ER_PATHWAY%MSIGDB_C2%BIOCARTA_CARM_ER_PATHWAY	BIOCARTA_CARM_ER_PATHWAY%MSIGDB_C2%BIOCARTA_CARM_ER_PATHWAY	1.62e-05	0.00178775702479339
PYRIMIDINE NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009147	PYRIMIDINE NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009147	1.71e-05	0.00187160901639344
OSTEOBLAST DEVELOPMENT%GOBP%GO:0002076	OSTEOBLAST DEVELOPMENT%GOBP%GO:0002076	1.86e-05	0.00201923414634146
NUCLEOTIDE-BINDING DOMAIN, LEUCINE RICH REPEAT CONTAINING RECEPTOR SIGNALING PATHWAY%GOBP%GO:0035872	NUCLEOTIDE-BINDING DOMAIN, LEUCINE RICH REPEAT CONTAINING RECEPTOR SIGNALING PATHWAY%GOBP%GO:0035872	1.89e-05	0.00203525564516129
PLATELET ADHESION TO EXPOSED COLLAGEN%REACTOME%R-HSA-75892.3	PLATELET ADHESION TO EXPOSED COLLAGEN%REACTOME%R-HSA-75892.3	1.97e-05	0.00209232047244094
MAINTENANCE OF SYNAPSE STRUCTURE%GOBP%GO:0099558	MAINTENANCE OF SYNAPSE STRUCTURE%GOBP%GO:0099558	1.99e-05	0.00209232047244094
STABILIZATION OF MEMBRANE POTENTIAL%GOBP%GO:0030322	STABILIZATION OF MEMBRANE POTENTIAL%GOBP%GO:0030322	1.99e-05	0.00209232047244094
T CELL RECEPTOR COMPLEX%GOCC%GO:0042101	T CELL RECEPTOR COMPLEX%GOCC%GO:0042101	2.03e-05	0.00209539384615385
CLATHRIN-SCULPTED MONOAMINE TRANSPORT VESICLE MEMBRANE%GOCC%GO:0070083	CLATHRIN-SCULPTED MONOAMINE TRANSPORT VESICLE MEMBRANE%GOCC%GO:0070083	2.04e-05	0.00209539384615385
CLATHRIN-SCULPTED MONOAMINE TRANSPORT VESICLE%GOCC%GO:0070081	CLATHRIN-SCULPTED MONOAMINE TRANSPORT VESICLE%GOCC%GO:0070081	2.04e-05	0.00209539384615385
CYCLIC NUCLEOTIDE-DEPENDENT PROTEIN KINASE ACTIVITY%GOMF%GO:0004690	CYCLIC NUCLEOTIDE-DEPENDENT PROTEIN KINASE ACTIVITY%GOMF%GO:0004690	2.11e-05	0.00215075038167939
REGULATION OF DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:1900424	REGULATION OF DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:1900424	2.13e-05	0.00215468863636364
HYALURONAN METABOLIC PROCESS%GOBP%GO:0030212	HYALURONAN METABOLIC PROCESS%GOBP%GO:0030212	2.25e-05	0.0022255
BIOCARTA_CARM1_PATHWAY%MSIGDB_C2%BIOCARTA_CARM1_PATHWAY	BIOCARTA_CARM1_PATHWAY%MSIGDB_C2%BIOCARTA_CARM1_PATHWAY	2.25e-05	0.0022255
CONSTITUTIVE SIGNALING BY OVEREXPRESSED ERBB2%REACTOME%R-HSA-9634285.1	CONSTITUTIVE SIGNALING BY OVEREXPRESSED ERBB2%REACTOME%R-HSA-9634285.1	2.25e-05	0.0022255
NFE2L2 REGULATES PENTOSE PHOSPHATE PATHWAY GENES%REACTOME%R-HSA-9818028.1	NFE2L2 REGULATES PENTOSE PHOSPHATE PATHWAY GENES%REACTOME%R-HSA-9818028.1	2.28e-05	0.00223859117647059
