logFC	logCPM	F	PValue	FDR	rank
PLP2	1.54878375177586	5.07026524373923	52.3931921527261	4.2469254377074e-11	1.06792957493053e-08	10.3719253637507
HLA-A	1.08772906048858	7.63540589887709	52.1295844960017	4.66677645376472e-11	1.12778410716434e-08	10.3309830020336
CTA-384D8.31	4.46979816676161	-0.662172852873167	51.7721139465005	5.30446773580885e-11	1.20469834626441e-08	10.2753581878226
GBP1	2.58854076893171	2.72182571750943	50.9535689642078	7.11978924811579e-11	1.55864750975222e-08	10.147532861663
TAP1	1.33241205627994	4.43734911981397	49.873338231466	1.05229032115124e-10	2.10548583827766e-08	9.97786442417534
ITGAX	1.9748686164635	3.65747848996942	48.7827675195955	1.56520879982851e-10	3.06583214181147e-08	9.80542771909859
ITGAM	1.89209070839757	4.30387230459451	48.6335616007002	1.6529301304027e-10	3.17089936768385e-08	9.78174550373156
ETV4	3.37418212198567	0.0842825915136725	48.0425659639563	2.05245605288285e-10	3.70797109048971e-08	9.68772613320721
IFI44L	3.02511635889472	4.88546961917401	47.515422621066	2.49130768658741e-10	4.29243087333504e-08	9.6035726320239
SPAG6	2.54065070783663	0.854438470048282	46.5657086107815	3.53787449953413e-10	5.72458858150706e-08	9.45125757705844
GAS7	1.7176931738149	5.44623408301362	46.3064769147797	3.89471936064738e-10	6.09016284562408e-08	9.40952383054938
ISG15	2.18414144520742	3.01869169409392	45.1572919249768	5.97461554382441e-10	8.75398787712478e-08	9.22369003557941
H3F3B	1.03032386524294	7.58941460118275	44.3770014346241	8.00326282348595e-10	1.15445515208858e-07	9.09673292083996
KLF6	1.09394907119183	8.67526513649445	44.2654663802791	8.3457666141939e-10	1.19460019351477e-07	9.07853376431457
SH3BP1	1.10236517084255	4.5754059946078	44.1910185111114	8.5826447142305e-10	1.21912864765192e-07	9.06637886508696
S100A10	1.80007618486188	4.78677667936993	44.0665397170418	8.9940942990329e-10	1.25405515877249e-07	9.04604256336192
GLIPR2	1.36993450078974	3.28466245383974	42.7310025976725	1.48996893527587e-09	1.92537096858426e-07	8.82682278620445
MYADM	1.04207975895264	7.8952806493996	42.5745806695731	1.58116526239896e-09	1.98969343630338e-07	8.80102273550929
OASL	3.50310892811636	2.30631875176175	42.4003111171707	1.68947614613196e-09	2.09585147514824e-07	8.77224793568926
BCL2A1	2.12843416987739	2.17903114035642	42.2797069654724	1.76882545041557e-09	2.16541473561401e-07	8.75231502161912
TCN1	4.94919596602197	0.834976844915338	41.5701413918937	2.31887792186861e-09	2.74838728472173e-07	8.63472211434363
IL2RG	1.2790163023535	5.38818171246658	40.8165011554602	3.09583197798642e-09	3.5630440267296e-07	8.50922261808394
IRF2BP2	0.918026923257949	7.83423572724146	40.8113549152936	3.10196223307284e-09	3.5630440267296e-07	8.50836349410072
AHNAK	1.18748166608503	9.3225916232074	40.6512529988505	3.29897393883952e-09	3.72044285175308e-07	8.48162111527093
CALCOCO2	1.0611418519979	6.64619354044255	40.2435554624341	3.86017019600297e-09	4.27559803614424e-07	8.41339354673875
CD300E	4.26088176453009	2.84323266207981	39.9181404303037	4.37720779204664e-09	4.8195906860594e-07	8.35880283634388
PITPNM1	1.16611764555822	3.80364689991926	39.8539073184578	4.48731691565379e-09	4.91176430391092e-07	8.34801325744278
IFI44	2.00146412269849	3.98337397405208	39.5532421591752	5.04141826716269e-09	5.42258445753546e-07	8.29744726931744
APOBEC3A	3.96610150444474	0.625092571249739	39.3981763247214	5.35391647558933e-09	5.62856936597549e-07	8.27132840835895
ANXA1	1.49503996270534	7.15066498103134	39.2809148878301	5.60326080425029e-09	5.85761106997131e-07	8.25155916278841
TPSB2	4.22036807064223	3.13772114161915	38.8352101485296	6.66384891057979e-09	6.88893891822604e-07	8.17627485824673
RHBDD2	1.22815690667649	3.33903119265424	38.6487686290924	7.16612336292882e-09	7.24713171398801e-07	8.14471571984028
CLEC2B	1.47975529295288	4.54504161200093	38.5858982692504	7.34404577046295e-09	7.34720449982659e-07	8.13406462513503
IGHA1	4.70436441737985	0.0861920609526115	37.9242364040606	9.51273861073547e-09	9.2676984329092e-07	8.0216944365524
DPF1	2.0394014500888	1.20183396405149	37.8020037975866	9.97975121111668e-09	9.61357914582239e-07	8.00088028526433
HELZ2	1.90598120521037	5.04118581789832	37.5954463909058	1.08226201193306e-08	1.00693657590252e-06	7.96566758529092
SLC43A2	1.2660991235247	3.97794114557861	37.3595212403211	1.18744198969945e-08	1.09929952956852e-06	7.92538759784525
FCN1	3.58911461759429	4.69095289081052	37.1354359239177	1.29697397286177e-08	1.18887151167546e-06	7.88706873907084
SGMS2	2.93836973545555	1.51381721785981	36.6026676231976	1.60056217634034e-08	1.43188754698755e-06	7.79572745034395
LGALS2	4.09633596395361	-0.609912891183606	36.5584122729432	1.62882742390855e-08	1.45020194756413e-06	7.78812492724124
PMAIP1	1.22984612632782	5.18765964241268	36.5161948288777	1.65626442826282e-08	1.46760802291022e-06	7.78087032542092
HIST1H1E	1.02085684059259	8.87250390911693	36.3754539965546	1.75117573269138e-08	1.54435440919058e-06	7.75667026973115
MX2	1.82100816078664	4.37634115556583	36.3538887129734	1.76620012824622e-08	1.55025716917008e-06	7.75296008803553
SIPA1L1	0.870202779436785	4.35038264811134	36.2992131341388	1.80488281546215e-08	1.562105089773e-06	7.74355099001885
CDC42EP3	1.01002670206932	5.13122375626485	35.8152868585981	2.18717441808443e-08	1.82506464447153e-06	7.66011658239848
EPSTI1	1.31279703886423	5.40070415564376	35.6919643340502	2.29715630422667e-08	1.8830609915881e-06	7.63880945332319
NLRC5	0.99007593623571	5.31900433464599	35.6394850733695	2.34565016250162e-08	1.91437974665922e-06	7.62973675940906
VIM	1.02245565063981	9.65082380033974	35.2381554799072	2.75268019441884e-08	2.19836365054703e-06	7.56024424188199
CORO1A	1.15804376725172	6.23501389186669	35.1836336354695	2.81327114328806e-08	2.23715168522668e-06	7.55078840848217
IL12RB1	1.97445805049686	1.06710843868319	34.2626093390575	4.06907618260475e-08	3.12881692586402e-06	7.3905041790641
EIF2AK2	0.946619384964673	6.51140127068696	33.5058836991523	5.52041414346527e-08	4.10895465526407e-06	7.25802834011955
TLE4	0.728514611884044	6.01484334272118	33.2832178922264	6.04072201865444e-08	4.39084981730945e-06	7.21891114913102
CD69	1.07731709098399	6.01348133821057	33.1157787787477	6.46465153213359e-08	4.64456508532594e-06	7.18945488018038
KCNK17	1.70758784102971	2.03688041906964	32.9551467284353	6.89981055573151e-08	4.88181273083848e-06	7.16116283328157
RFX2	1.02275769625102	4.36903241034038	32.6894235241408	7.68618286055176e-08	5.31689556390881e-06	7.11428928752924
HERC5	1.17510876893615	4.17156832999459	32.5654567794874	8.08368117766489e-08	5.50993184446843e-06	7.09239082349806
AHR	0.887904604997373	4.67087332307781	32.4507238706335	8.47020630500978e-08	5.72793605296919e-06	7.07210601162488
RFLNB	1.08180855384017	6.01149013306536	31.9768660042979	1.02766389552842e-07	6.78112403120316e-06	6.98814890108463
ATP2B1	0.841156222544378	6.31809269084696	31.9312886427079	1.0469878596787e-07	6.88422264766832e-06	6.98005835414266
SLC11A1	2.54923346282647	2.12825392767688	31.6918293950129	1.15476288031348e-07	7.43523449026755e-06	6.93750718490053
DUSP6	1.26286774409804	6.46662526950904	31.647468729475	1.17593613631754e-07	7.54545504296441e-06	6.92961626363234
FGR	2.06560999022411	3.08013298654906	31.6301909090487	1.18428935405814e-07	7.57294030938619e-06	6.92654217470951
RTN4	0.574648867245116	6.6702333599765	31.5295194548933	1.23417609086369e-07	7.86491393794231e-06	6.9086228712311
IFIT5	1.55618714366654	3.80970340436649	31.5076709100142	1.24528244729827e-07	7.90860606802944e-06	6.90473213339481
RUNX3	1.21681664624308	6.12018912858203	31.4842421127402	1.25730517682027e-07	7.95107475529331e-06	6.9005592962815
B3GNT7	2.05087586106816	4.0347752932229	31.4370492676542	1.28188263017661e-07	8.031404707854e-06	6.8921517372198
THEMIS2	1.08594968765159	5.13182956228977	31.3933390029515	1.30508255044789e-07	8.14932083850149e-06	6.8843620170076
PDE6A	2.52616885204094	1.14763834111771	31.352220591566	1.32729690461249e-07	8.21586025315504e-06	6.87703191842271
PARP9	1.1646161404402	4.57434664400926	31.1559742043471	1.43874238410691e-07	8.80661785640174e-06	6.84201696226683
PARP8	1.00451137536598	4.49432142465814	31.1478775399116	1.44353978377502e-07	8.80701255622475e-06	6.84057124251699
BCL6	1.56040875740317	4.26844273168301	30.8038222907241	1.66319103855207e-07	9.88394193829434e-06	6.77905786369455
IFIT1	2.79894538573749	2.96967560743942	30.7899940881966	1.67269876345799e-07	9.88394193829434e-06	6.77658226414664
CMPK2	1.50515900800384	4.04921160336165	30.7893053620369	1.67317374815279e-07	9.88394193829434e-06	6.77645895805377
ODF3B	2.01650600816151	1.63252084304198	30.7413746077481	1.70656905771655e-07	1.00493155145536e-05	6.76787613294737
USP18	1.75421199626702	1.48662240361672	30.45992391014	1.91683150614033e-07	1.10428485034858e-05	6.71741606091931
IL2RA	2.78580105635714	2.18019629563321	30.4232257216555	1.94612692567491e-07	1.11770153805428e-05	6.71082883861924
PPP1R18	1.05683847027073	6.58612107057067	30.3529043838784	2.0035429772341e-07	1.14713623754991e-05	6.69820133724654
MAMDC2	2.87794791744345	2.21512591203015	30.3137680269949	2.03624101542464e-07	1.16228137469392e-05	6.69117081893149
TMX4	0.72561394608526	5.91725002164829	30.2582751536331	2.08353844891517e-07	1.18564169594537e-05	6.681198480809
BMF	1.43793489555584	4.38732633838481	30.1991181866829	2.13519158591157e-07	1.20764878512591e-05	6.67056315062902
JDP2	1.29451612006009	3.93459089016189	30.1149830963733	2.21090896246206e-07	1.24668466586345e-05	6.6554291397887
PRF1	2.89588746627023	1.05657641361555	29.9741123158377	2.34385974142672e-07	1.31765988122261e-05	6.63006838042994
RGCC	1.09408621737216	4.78123483171455	29.8048197774226	2.51445834597343e-07	1.39253097922243e-05	6.59955555442115
PELI1	1.02870578086292	5.32161377519121	29.751890018609	2.57035019654349e-07	1.41506143364737e-05	6.59000770232422
MYO1G	0.92997155004702	6.30030800064864	29.6713997087751	2.65777971665237e-07	1.45027298890521e-05	6.57548101730104
GBP5	1.435174761512	4.52475825224807	29.6644361118383	2.66548453463877e-07	1.45027298890521e-05	6.57422383294413
HCAR1	2.91000629051189	-0.571133147725735	29.5663130224716	2.77650185632363e-07	1.50189379483924e-05	6.55650203182915
UBALD2	0.817829953753548	6.27587822752396	29.5111091510402	2.84101786433973e-07	1.52790926068305e-05	6.54652603542181
IFITM1	1.98836188293736	2.73597083304659	29.3195433795903	3.07697760020062e-07	1.64529882714176e-05	6.51187566532052
IL15RA	1.3218301171732	2.54941974587544	29.0972490143832	3.37594744017536e-07	1.77456581827071e-05	6.47160432348581
TTC9	1.29131318108527	3.31347248843929	29.0546356503271	3.43655531352784e-07	1.79345202083523e-05	6.46387666145474
CD96	3.0921279039263	3.56007412599864	29.0523058576526	3.43990068033268e-07	1.79345202083523e-05	6.46345409655817
FMNL1	0.697412344048638	6.97941376826358	29.0516862733258	3.44079090411746e-07	1.79345202083523e-05	6.46334171852907
LAPTM5	0.822247018163137	7.37942624467348	28.9969125750476	3.52042442714336e-07	1.82983401509172e-05	6.45340497423364
METRNL	1.25510342600492	3.76582283302383	28.9497778518128	3.59045302968509e-07	1.86103481828357e-05	6.44485075034107
CTC-490G23.2	2.91526614516623	-1.14502400977793	28.932584852648	3.61634848391818e-07	1.86925034968748e-05	6.44172972605331
RP11-124N14.3	1.21337107595319	2.40384850799034	28.7988415019359	3.82439239074902e-07	1.96044885969856e-05	6.41743755457732
CD48	1.44996904029763	4.69117246194766	28.7267652794309	3.94152314534426e-07	1.99847037298545e-05	6.40433591883704
ITGB2	1.141403382951	6.53594216918597	28.6329394378047	4.09949168583708e-07	2.06171192675828e-05	6.38726999004169
ELF4	0.81312449853729	5.72591715994165	28.590776745566	4.1725632455297e-07	2.08158329417739e-05	6.37959707179038
LATS2	1.05294035662845	6.33462907014783	28.5586595422377	4.22911394285467e-07	2.09854272663039e-05	6.37375061372129
LGALS9	0.933100966199849	4.7835796113557	28.4999023435682	4.33459937389449e-07	2.1451655624848e-05	6.3630510360764
FRG1	0.844360017628765	3.95947196352475	28.3219452117792	4.67072096333354e-07	2.26926307273395e-05	6.33061607741448
AQP9	3.19469550037723	0.0406802370248934	28.3097008407245	4.69480153563004e-07	2.27502257747406e-05	6.32838276203525
IFI35	1.16637749287516	2.93442637084118	28.2735521345829	4.76663405875519e-07	2.29786338252116e-05	6.3217881881954
S100A12	3.2592113721564	0.224640998428092	28.2271759819281	4.86043166548685e-07	2.33702616101756e-05	6.31332515838916
WARS	0.989741062104658	5.2420216498256	28.2197965137907	4.87552933022024e-07	2.33824355094686e-05	6.31197822658819
RARA	1.05511289192535	6.08395515314565	28.0238742605506	5.29432040394616e-07	2.51318148154669e-05	6.27618977942017
IFIH1	1.1594087150966	4.45269037150352	27.9029468644362	5.57091466257339e-07	2.61671843139642e-05	6.25407349418054
TLE3	0.742383999297782	6.95406958156007	27.8674925672427	5.65476559460434e-07	2.64381603478386e-05	6.24758539305149
OGFRL1	0.807770270004441	5.23274834237171	27.7642039151459	5.90644864558443e-07	2.74806025368486e-05	6.22867356771611
ZNFX1	0.887139259086399	5.68789917280769	27.5563234309694	6.44813948328215e-07	2.97462376338122e-05	6.1905655766365
CHMP4B	0.733633218667387	5.38224961410951	27.5526209217817	6.45823302023867e-07	2.97462376338122e-05	6.18988628920766
DYRK2	0.714464894172809	4.8464969908621	27.1340225248134	7.70971816151476e-07	3.49908379388943e-05	6.11296149784219
LST1	1.18714729704496	4.61328298176422	27.1213296686759	7.75130719209165e-07	3.50939961631244e-05	6.11062505124336
HLA-C	0.83240688189048	7.88366186067357	26.9814747301324	8.22496693047293e-07	3.70581560877095e-05	6.08486583951075
OAS2	1.82013962381007	4.54415532141933	26.9487338495668	8.34004912309695e-07	3.72022131618458e-05	6.07883139134942
PIK3R5	0.932129464606745	4.67439883346279	26.9383482013489	8.37689559050591e-07	3.72022131618458e-05	6.07691689756342
ELMSAN1	0.973611732642044	7.97930191455393	26.8581925647847	8.66690923053298e-07	3.83073270693011e-05	6.06213575182487
S100A9	2.96228880066417	4.23797010370843	26.8503798178113	8.69571821224525e-07	3.83435840031895e-05	6.06069454215656
CXXC5	1.00008876332314	5.96874751257781	26.8286839871449	8.77623266559448e-07	3.85160701512694e-05	6.05669187175463
APOBEC3H	2.96217586359131	-1.52365326281793	26.6913462909976	9.30382187112185e-07	4.0449887237812e-05	6.03133861310435
ICOSLG	1.26066743439778	3.31197353761378	26.6032726189102	9.6590546876986e-07	4.18469481073142e-05	6.01506537503431
EFHD2	0.716986426647293	6.41079660643995	26.5998823161957	9.67300185354506e-07	4.18469481073142e-05	6.01443872900694
MAP3K8	0.99907659315734	5.35721740275798	26.4271119519596	1.04115977117021e-06	4.47434203739844e-05	5.98248262071677
MBD2	0.668198260984634	5.69103961853401	26.3270185100404	1.086552846293e-06	4.63774464868782e-05	5.96394914620006
HCST	1.44987302373882	1.85379086617186	26.3190010588624	1.09027489477825e-06	4.64252522701001e-05	5.96246398808367
PLAUR	1.4776944708201	3.95779945220396	26.2127823125707	1.14082997044782e-06	4.8137333537626e-05	5.94277907810482
TPSD1	3.01493362282707	1.15377697346589	26.1277996912491	1.18299298569461e-06	4.9691046225294e-05	5.92701783042123
RNF19B	0.821971099716276	4.43402401592687	25.9970583998431	1.25098108076908e-06	5.20766352370269e-05	5.90274925831595
NCF2	2.249386818747	2.95744026686259	25.9882448561298	1.25570505394777e-06	5.2156606347902e-05	5.90111235780055
C20orf197	1.98525885449804	0.699336064129594	25.8402422310573	1.33780446092611e-06	5.49533452735386e-05	5.87360736022046
C5AR1	2.8802939335813	2.3599705573455	25.6005527321806	1.4825373125326e-06	6.02337430384423e-05	5.82899436749281
MT2A	1.87771324374137	2.28592243953078	25.4104668379397	1.6085951680129e-06	6.45102131172072e-05	5.79355324018929
RASSF5	0.872783691487352	5.2263490473991	25.1016725173459	1.83711413830161e-06	7.2579660054175e-05	5.73586386051799
SPRY1	0.988499144256249	5.16248655925912	25.0817622727016	1.85293728002455e-06	7.30496968362219e-05	5.73213928084313
ARL8A	0.749666624002292	4.18090681415373	25.0747635384096	1.85853226009063e-06	7.30583944512221e-05	5.7308298960922
SH3BP5	1.56820154883527	4.80079107210695	25.0328142200505	1.89243033215631e-06	7.38246197500308e-05	5.7229800996308
NLRP3	1.21691448189036	5.08641833406669	25.0051009163028	1.91516955748115e-06	7.4399739301898e-05	5.71779277019739
PRKD2	0.663745429748256	5.2744688914003	24.9952627280894	1.9233087365313e-06	7.45602686861968e-05	5.71595099563171
ARRB2	0.742408358466755	5.33025844533471	24.88569522497	2.01637205220855e-06	7.78436745798688e-05	5.69542933070211
XAF1	1.33451542060749	5.37305804720336	24.8527876977223	2.04520903073198e-06	7.82450508008437e-05	5.6892622982903
RIPK2	0.913472461491645	5.24092155995281	24.8498616301222	2.04779340821211e-06	7.82450508008437e-05	5.68871385931687
SMAP2	0.702091868949531	5.86368064998873	24.8356136497012	2.06042521067459e-06	7.85663777053949e-05	5.68604314487675
HECA	0.760886624923333	5.95626927105905	24.7901613507777	2.10125483996857e-06	7.99594070800309e-05	5.67752127321019
INHBA	2.2543859776097	1.29058216602789	24.7534013760312	2.13487851634446e-06	8.10731008819138e-05	5.67062683313654
ARL4C	1.58770257541944	5.38391389931373	24.696941517204	2.18759227506778e-06	8.29057373817946e-05	5.66003361889649
DHX58	1.31764138777758	2.55228846119623	24.622472130622	2.25915505608662e-06	8.52651528380293e-05	5.64605396045112
KLHDC7B	2.03904605582385	0.814854631659048	24.5539013549115	2.32715802566833e-06	8.71302948523869e-05	5.63317412494466
C3orf38	0.783111402369555	3.71748228563471	24.4437434447999	2.44079999745771e-06	9.12016191821145e-05	5.612467805818
SLC6A19	2.74613714591905	-1.33076654764568	24.4140750603284	2.47236235481804e-06	9.21958290550182e-05	5.60688787777204
CTSS	1.28468368737078	5.91108314511041	24.3982719983057	2.48934367831193e-06	9.26434143320566e-05	5.60391514063901
C15orf39	0.825867058927609	6.54944468625971	24.3201340573834	2.57507060072049e-06	9.47047139458867e-05	5.58921085940609
OTOF	2.71066418467298	-0.714037133602397	24.3118228094726	2.5843643041382e-06	9.48517770639126e-05	5.58764626617036
TAPBP	0.742420281288225	7.18511356662486	24.2965187671487	2.60156690635938e-06	9.52275994734943e-05	5.58476500056209
RSAD2	1.75942984070076	3.60685946059421	24.293619279529	2.60483921603658e-06	9.52275994734943e-05	5.58421907840788
ARID5A	0.845351543505614	5.39149194436673	24.2659172431953	2.63631546397327e-06	9.59749450730503e-05	5.57900262288475
SMAD3	0.728028183860074	5.84122381932412	24.2620370434401	2.6407551524829e-06	9.59749450730503e-05	5.57827186416797
FCAR	2.93298493651424	1.53928555442079	24.1836306553645	2.73211766868704e-06	9.87169817066573e-05	5.56350060009995
ZNF267	0.782781430594206	5.11265292995978	24.1692635753273	2.7492048090688e-06	9.91418664479695e-05	5.56079290506917
BRPF1	0.647744068092873	5.89444153399243	24.1525498744722	2.76921992453283e-06	9.96704919839591e-05	5.55764255230127
RAB11FIP1	0.90329152095359	6.44299081573344	24.0706891911892	2.86941619943125e-06	0.000102680955075032	5.54220645419147
ZBTB43	0.851150797016382	5.08169610595163	23.9985334180306	2.96079432909367e-06	0.000105544944206466	5.52859175973059
LIMD2	0.544101219580368	6.06961878990597	23.9223653821977	3.06047443400586e-06	0.000108063203544556	5.51421124407414
CMTM3	0.772834871190812	4.46391071915629	23.894189339214	3.09820874063284e-06	0.000108981981560862	5.5088893251659
IGHM	1.88703362887525	7.21359022563975	23.7059819045199	3.36272401546223e-06	0.00011714772896433	5.47330877451712
CSGALNACT2	0.73113623297983	5.4085501804661	23.7036451198828	3.36614904498003e-06	0.00011714772896433	5.47286665841981
SYTL3	1.40254468098325	2.67124026031808	23.6421687970293	3.45754339424734e-06	0.00011980999530755	5.46123236052772
LSP1	1.23202112821267	6.61039006077422	23.5958041622472	3.52814148124424e-06	0.000122029101641251	5.45245400764122
HIC1	1.62838551317872	3.18136849184768	23.5462835327578	3.60516881330721e-06	0.000124461931870168	5.44307439447541
B3GNT5	0.925889186209496	4.81883408773695	23.5101720523833	3.66241746010773e-06	0.00012620419277349	5.43623215422109
PARP12	0.975962747977774	4.01826310128275	23.4765126301868	3.71661288778102e-06	0.000127599137667582	5.42985267147241
SPI1	0.836558117569954	5.88832196110165	23.454455240378	3.75257033795227e-06	0.000128596369886954	5.4256711586188
TKT	0.660223552797182	7.86175494979914	23.4172471124002	3.81403155277351e-06	0.000130462314584576	5.41861571843769
REPIN1	0.672391737994055	6.08601734479164	23.3708050693516	3.89218728686354e-06	0.000132648023871716	5.40980627022938
RNF168	0.698331249410776	5.82269370900973	23.3376871316786	3.94891558554558e-06	0.000134335322149602	5.40352214991086
WT1	2.0675355412445	1.14360879621235	23.2970768260582	4.01962938447448e-06	0.000136491356909309	5.39581398763633
SCAND1	0.733476041108438	4.27573955054436	23.2530321199885	4.09778343389812e-06	0.000138639189341775	5.38745099760596
CLECL1	2.80522701387936	0.210949396337678	23.1792301652417	4.23222788907647e-06	0.000142267240583459	5.37343095526783
HLA-DPA1	1.05567384430866	6.22675815420452	23.177409750327	4.23560034841125e-06	0.000142267240583459	5.3730850246429
MEFV	2.94658094261222	1.43989709587106	23.0536496895049	4.47141793303098e-06	0.000148844624146405	5.34955473574002
B2M	0.771419755164384	8.46010935141396	23.0445169090381	4.48934136911352e-06	0.000148908492328814	5.34781736962942
DTX3L	0.901515991548797	5.97389523041457	23.0159621634761	4.5458549514732e-06	0.000150514713411056	5.34238442579974
SERTAD2	0.741987972662252	6.39139805885104	22.9488919341984	4.68146468615042e-06	0.00015472947580797	5.32961824829476
CLEC4E	3.09996406883543	-0.444376110417646	22.8578160262751	4.87224026768909e-06	0.000160181354949043	5.31227130322439
SPRY2	0.882355680171217	3.982984627953	22.849124448983	4.8908556925634e-06	0.000160509775533015	5.31061515109162
LGALS1	1.67974848870873	3.42505531104679	22.8351460287808	4.92094652913296e-06	0.00016092965380335	5.30795135397195
FAM107B	1.02607028100692	5.60786459714721	22.8279946104272	4.93641401870452e-06	0.000161152266772024	5.30658842302296
RAPGEF1	0.67794671645804	6.12387469550207	22.8082682843079	4.97933657577652e-06	0.000162268817866987	5.30282851681309
LAP3	0.71877059644008	4.32369540518884	22.6705544546279	5.28978035239153e-06	0.000168548343830996	5.27656236080504
ZNF689	0.652145584376293	3.94970084415668	22.6402295441416	5.360750699826e-06	0.000170517690636517	5.27077438904542
RRAS2	1.0137083745751	2.35402031339959	22.4325923354014	5.87349039007051e-06	0.0001842733365069	5.23110373748319
AES	0.627176636106867	6.85315612613641	22.4300917775218	5.87996090466334e-06	0.0001842733365069	5.23062556149961
SGTB	0.715185839976626	3.279332401857	22.326074140474	6.1556581816347e-06	0.00019218873732191	5.2107255041673
IL17RE	1.4047702183447	1.12036799918372	22.311577346454	6.19511448920071e-06	0.00019253671382001	5.20795066320742
GYPC	0.786438913853432	6.80054024242799	22.2350091526332	6.40783010356406e-06	0.000198397508431148	5.19328901160278
SLAMF6	1.91899615092123	1.2581740141883	22.2027943043232	6.49953825903887e-06	0.000200237430338072	5.1871174954609
PFKFB3	0.871319063612941	5.6188879844217	22.1824717985386	6.55807884319964e-06	0.000201374143752903	5.18322336641616
FPR1	2.96235331202032	0.569847273159135	22.1232292186246	6.73181775073636e-06	0.000205353548697873	5.17186765011168
IFT57	0.690791718531419	4.61482538598234	22.0793549073957	6.86350503010605e-06	0.000208153659075224	5.16345404369732
LCP1	0.862340714463424	8.36358891921575	22.0561253791534	6.93428793587847e-06	0.000209469529076017	5.15899812887996
SLC38A1	0.76592990886746	6.32574938882005	22.0342884498869	7.00150597511861e-06	0.000211157249894663	5.15480853622296
ETV5	0.979004262961735	2.9720213812797	22.0226522415028	7.03759523611151e-06	0.000211782108720602	5.15257571501977
TNFRSF10B	0.692082180375691	4.02431699046968	21.9898054597004	7.14049486695834e-06	0.000213617891453956	5.14627168870818
C19orf66	0.934439769100387	3.87398030972927	21.9376531162967	7.30703436818693e-06	0.000217203347481186	5.13625884997258
TRIM26	0.581798611582207	4.21201743046535	21.8876022322579	7.47058719553346e-06	0.000220655057991249	5.12664526086767
PSME1	0.763559329480149	6.80772755314495	21.8614307935089	7.55758948335167e-06	0.000222518394155392	5.12161670198729
GMIP	0.605820013481689	4.98267903798945	21.6949640279231	8.13569398549991e-06	0.000236176277195292	5.08960539525102
LMNA	1.12505536818151	7.31619574081608	21.6555698321103	8.27897881513689e-06	0.000239216207751657	5.0820232287105
ATP2B1-AS1	1.00272683092741	2.71732590021462	21.5783566547413	8.56732830438999e-06	0.000246794404164906	5.06715459039423
BEGAIN	1.98227425970341	-0.415708939346171	21.5782387125747	8.56777649884617e-06	0.000246794404164906	5.06713187114257
MAGEC3	3.03795266118912	-1.46734887852686	21.549971914174	8.67588613007693e-06	0.00024913717455011	5.06168615668133
SLC2A5	1.41821658468605	3.79417871851448	21.5220847361204	8.78390698081348e-06	0.00025069756403139	5.05631227193011
ARHGDIA	0.556562959718847	6.8795431381751	21.4911300663813	8.90541661175892e-06	0.000253382251240994	5.05034575863131
APOL6	0.965312512999887	5.18394635308523	21.4321864369133	9.1415545478452e-06	0.000259307998515706	5.03897994495066
RELL1	1.01562092494233	5.05898720350133	21.2663075650462	9.84094757906762e-06	0.000275783663480859	5.0069630815944
SH2D1A	2.4893972195371	0.834955759825581	21.217391181692	1.00574358293774e-05	0.000281004153022604	4.99751272972724
SP140	2.18511589686844	0.732908689836208	21.2133011741958	1.00757554419657e-05	0.000281093938926683	4.99672238221142
ADNP2	0.69252043878139	5.58874118270815	21.1991577627091	1.01393680735793e-05	0.000282445151367012	4.9939891111476
